,name,last_commit,versions,extracted_version,import_counts,function_counts,n_python_file,n_notebook,include
351,prantik-pdeb/BeSt-LeS,2024-08-08,[],,{'plotting': 1},,0,1,False
352,yashdhanani/Portfolio,2024-02-15,[],,,,0,0,False
353,argyelan/Publications,2024-12-17,[],,"{'image': 17, 'plotting': 23, 'datasets': 6, 'input_data': 10, 'masking': 1, 'regions': 2}","{'get_data': 5, 'image': 68, 'new_img_like': 27, 'plot_stat_map': 61, 'plotting': 82, 'NiftiSpheresMasker': 3, 'NiftiMasker': 6, 'view_img': 8, 'mean_img': 1, 'load_img': 34, 'coord_transform': 2, 'input_data': 2, 'smooth_img': 1, 'plot_markers': 3, 'show': 3, 'nilearn': 2, 'plot_img': 4, 'fetch_atlas_harvard_oxford': 6, 'datasets': 6, 'plot_roi': 3}",0,9,True
354,NatLee/nipype-preprocess-on-brain-MR,2024-02-03,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.3\n', 'extracted_version': '0.10.3'}]",0.10.3,"{'image': 1, 'plotting': 1}","{'smooth_img': 2, 'image': 2, 'plot_stat_map': 1}",1,0,True
355,ericabusch/manifold_abcd_psychopathology_bpcnni,2024-10-01,"[{'file': 'environment.yml', 'version': '  - nilearn=0.10.4\n', 'extracted_version': '0.10.4'}]",0.10.4,,,0,0,False
356,ericabusch/hybrid_hyperalignment_neuroimage,2022-10-25,"[{'file': 'environment.yml', 'version': '    - nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0.5.2,,,0,0,False
357,ericabusch/EPHATE,2025-02-21,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '  - conda-forge::nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
358,MassimoLumaca/neuroMET,2024-08-19,[],,"{'plotting': 8, 'datasets': 6, 'image': 2, 'input_data': 2}","{'fetch_atlas_destrieux_2009': 6, 'datasets': 6, 'find_parcellation_cut_coords': 6, 'plotting': 18, 'plot_connectome': 6, 'view_connectome': 6, 'NiftiLabelsMasker': 2}",6,0,True
359,coreyjr2/HCP-Analyses,2022-05-13,[],,"{'plotting': 6, 'datasets': 8, 'connectome': 7, 'input_data': 5}","{'sym_matrix_to_vec': 47, 'fetch_atlas_harvard_oxford': 2, 'datasets': 10, 'NiftiLabelsMasker': 13, 'fetch_atlas_msdl': 5, 'NiftiMapsMasker': 2, 'fetch_atlas_yeo_2011': 2, 'plot_img': 4, 'plotting': 4, 'nilearn': 1}",10,0,True
360,coreyjr2/My-Connectome-Analyses,2021-04-22,[],,"{'datasets': 1, 'plotting': 2, 'input_data': 1, 'connectome': 1}","{'fetch_atlas_harvard_oxford': 1, 'datasets': 1, 'plot_roi': 1, 'plotting': 2, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1, 'plot_matrix': 1}",1,0,True
361,brown-bnc/xnat-admin-tools,2025-01-27,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""antio (>=0.5.0)"", ""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io (>=0.2.4)"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipython (!=8.7.0)"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""pillow"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.0)"", ""pyqt6-qt6 (!=6.6.0,!=6.7.0)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk (>=9.2)"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
362,brown-bnc/xnat-tools,2025-01-16,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'dev = [""defusedxml"", ""edfio (>=0.2.1)"", ""edflib-python (>=1.0.6)"", ""eeglabio (>=0.0.2)"", ""matplotlib"", ""matplotlib (>=3.5.0)"", ""mne-nirs"", ""nibabel (>=3.2.1)"", ""nilearn"", ""numpydoc"", ""openneuro-py"", ""pandas"", ""pandas (>=1.3.2)"", ""pillow"", ""pre-commit"", ""pybv (>=0.7.5)"", ""pydata-sphinx-theme"", ""pymatreader (>=0.0.30)"", ""pytest"", ""pytest-cov"", ""pytest-sugar"", ""ruff"", ""seaborn"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-gallery""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
363,john-veillette/niseq-simulations,2023-05-11,"[{'file': 'environment.yml', 'version': '  - nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
364,john-veillette/mne-ari,2025-02-07,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",,"{'glm': 2, 'connectome': 1, 'maskers': 1, 'plotting': 1, 'datasets': 1}","{'_compute_hommel_value': 1, '_true_positive_fraction': 1, 'fetch_development_fmri': 1, 'datasets': 2, 'fetch_atlas_msdl': 1, 'NiftiMapsMasker': 1, 'ConnectivityMeasure': 1, 'plot_connectome': 1, 'plotting': 1}",1,1,True
365,gsailer/eeg-music,2024-07-26,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""psutil"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.1)"", ""pyqt6-qt6 (!=6.6.1,!=6.6.2,!=6.6.3)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
366,SeanHong8/Monchaton230120,2023-01-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0.6.2,,,0,0,False
367,AnaTomomi/protocol,2024-08-03,[],,{'plotting': 3},{'plot_glass_brain': 8},3,0,True
369,parisots/population-gcn,2018-12-02,[],,"{'connectome': 1, 'datasets': 1}","{'ConnectivityMeasure': 1, 'connectome': 1, 'fetch_abide_pcp': 1, 'datasets': 1}",2,0,True
370,yotaKawashima/UnilateralProcessingInCNN,2024-10-18,[],,"{'datasets': 1, 'plotting': 1}","{'fetch_surf_fsaverage': 1, 'datasets': 1, 'view_surf': 1, 'plotting': 1}",1,0,True
371,BruntonUWBio/mining2021,2022-03-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0.5.2,{'plotting': 2},"{'plot_connectome': 3, 'plotting': 3}",1,1,True
372,BruntonUWBio/HTNet_generalized_decoding,2021-03-05,"[{'file': 'environment.yml', 'version': None, 'extracted_version': None}]",,{'plotting': 1},"{'plot_connectome': 3, 'plotting': 3}",1,0,True
373,BruntonUWBio/OpenMindv2,2019-05-20,[],,{'plotting': 4},"{'plot_connectome': 8, 'plotting': 8}",2,2,True
374,BruntonUWBio/NaturalisticNeuralManifolds,2024-01-04,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}]",,{'plotting': 10},"{'plot_markers': 3, 'plotting': 3}",4,6,True
375,08Arno30/COS700-Research,2024-11-28,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0.10.4,,,0,0,False
376,RajahLab/LSA,2025-02-25,[],,"{'input_data': 1, 'image': 1, 'plotting': 1}","{'image': 2, 'nilearn': 2}",1,0,True
377,BabaSanfour/Coord2Region,2025-03-31,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': ""        'nilearn @ git+https://github.com/BabaSanfour/nilearn.git@main#egg=nilearn'\n"", 'extracted_version': '0.0.0'}]",0.0.0,{'datasets': 3},"{'fetch_atlas_aal': 1, 'fetch_atlas_talairach': 1, 'fetch_atlas_harvard_oxford': 1, 'fetch_atlas_juelich': 1, 'fetch_atlas_schaefer_2018': 1, 'fetch_atlas_yeo_2011': 1, 'fetch_atlas_destrieux_2009': 1, 'fetch_atlas_pauli_2017': 1, 'fetch_atlas_basc_multiscale_2015': 1, 'fetch_coords_dosenbach_2010': 1, 'fetch_coords_power_2011': 1, 'fetch_coords_seitzman_2018': 1}",1,0,True
378,jadecci/ukb_deppred,2025-03-21,"[{'file': 'requirements.txt', 'version': 'nilearn ~= 0.11.1\n', 'extracted_version': '0.11.1'}]",0.11.1,"{'datasets': 1, 'plotting': 1, 'surface': 1}","{'load_fsaverage': 1, 'load_fsaverage_data': 1, 'load_surf_data': 2, 'plot_glass_brain': 1, 'plot_surf_stat_map': 2}",1,0,True
379,Mjavan/ExplainingStatisticalTests,2025-03-14,"[{'file': 'requirements.txt', 'version': 'nilearn @ file:///home/conda/feedstock_root/build_artifacts/nilearn_1696247746422/work\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
380,FCP-INDI/cpac-qc,2025-04-02,"[{'file': 'requirements.txt', 'version': 'nilearn==0.11.1\n', 'extracted_version': '0.11.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.11.1,{'plotting': 1},{'plot_stat_map': 3},1,0,True
381,neurospin-deepinsight/brainprep,2024-11-25,"[{'file': 'doc/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",,"{'datasets': 1, 'plotting': 3, 'image': 1, 'maskers': 1, 'connectome': 1, 'interfaces': 1}","{'fetch_atlas_schaefer_2018': 1, 'datasets': 2, 'fetch_atlas_msdl': 1, 'plot_roi': 3, 'plotting': 5, 'load_confounds': 1, 'clean_img': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1, 'plot_matrix': 1, 'plot_anat': 1}",3,0,True
383,AnanyaSSadana/alzheimers_disease_detection,2024-07-17,[],,,,0,0,False
384,WyssCenter/epfl-rcp-wyss,2024-07-22,"[{'file': 'pytorch_nvidia/poetry_installation/pyproject.toml', 'version': '^0.10.1', 'extracted_version': '0.10.1'}]",0.10.1,,,0,0,False
385,sarrabenyahia/Predict-schizophrenia,2023-01-23,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
386,sdiebolt/opioids-analysis,2023-12-13,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,"{'masking': 3, 'signal': 2, 'image': 2, 'connectome': 1, 'plotting': 1}","{'apply_mask': 5, 'masking': 6, '_standardize': 4, 'unmask': 2, 'math_img': 4, 'image': 2, 'ConnectivityMeasure': 1, 'connectome': 1, 'plot_roi': 1, 'plotting': 1}",3,2,True
387,lucidtronix/Trips-and-Neurotransmitters-Discovering-Principled-Patterns-across-6850-Hallucinogenic-Experiences,2022-01-21,[],,"{'datasets': 1, 'input_data': 1}","{'fetch_atlas_schaefer_2018': 1, 'datasets': 1, 'NiftiLabelsMasker': 1}",1,0,True
388,anna-xu/mri_utils,2024-10-22,[],,"{'datasets': 2, 'surface': 2, 'plotting': 2, 'glm': 4}","{'FirstLevelModel': 1, 'compute_fixed_effects': 2}",1,1,True
389,MooseML/nlp-disaster-tweets,2025-02-27,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0.10.4,,,0,0,False
390,SS8297/IIS,2023-12-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.2 ; python_version >= ""3.10"" and python_version < ""3.13""\n', 'extracted_version': '0.10.2'}]",0.10.2,,,0,0,False
391,aghaeifar/pyshim,2024-12-19,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}]",,{'image': 2},{'resample_img': 1},2,0,True
392,paquiteau/retino-pypeline,2023-04-11,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,{'glm': 2},"{'threshold_stats_img': 1, 'make_first_level_design_matrix': 1, 'FirstLevelModel': 1}",2,0,True
393,eigenvivek/ortho-rxfm,2021-11-29,"[{'file': 'environment.yml', 'version': '  - nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,{'datasets': 1},{'MNI152_FILE_PATH': 1},1,0,True
394,bkazemivash/Scepter,2024-12-21,[],,"{'masking': 1, 'image': 2}","{'index_img': 1, 'apply_mask': 2, 'unmask': 2, 'load_img': 2, 'coord_transform': 1, 'image': 1}",2,0,True
395,SkeideLab/SLANG-conversion,2024-11-19,"[{'file': 'environment.yml', 'version': '  - nilearn <=0.10.1\n', 'extracted_version': '0.10.1'}]",0.10.1,,,0,0,False
396,csctd/profile-website-Mariamsheart17698,2023-08-16,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",,,,0,0,False
397,csctd/sphinx-site-template,2023-08-04,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",,,,0,0,False
398,csctd/profile-website-Obarrie,2023-08-08,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",,,,0,0,False
399,MICA-MNI/z-brains,2025-02-28,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'docs/requirements.txt', 'version': None, 'extracted_version': None}]",0.10.4,,,0,0,False
402,MICA-MNI/dhcp,2025-04-03,[],,"{'plotting': 23, 'image': 22, 'masking': 7, 'maskers': 14}","{'plot_roi': 5, 'plotting': 10, 'load_img': 69, 'image': 94, 'NiftiMasker': 14, 'math_img': 8, 'binarize_img': 1, 'new_img_like': 9, 'concat_imgs': 1, 'NiftiLabelsMasker': 1, 'view_img': 2, 'plot_anat': 2, 'affine_matrices': 1, 'resample_img': 1, 'plot_stat_map': 1}",20,3,True
403,MICA-MNI/micapipe-supplementary,2023-06-15,[],,{'plotting': 4},"{'plot_matrix': 9, 'plotting': 9}",4,0,True
404,MICA-MNI/MICA-7t,2025-03-31,[],,{'plotting': 1},"{'plot_matrix': 2, 'plotting': 2}",1,0,True
405,lmeyer32/Source_7a,2021-10-21,"[{'file': 'DeepPATH_code/requirements.txt', 'version': 'nilearn==0.5.0\n', 'extracted_version': '0.5.0'}]",0.5.0,,,0,0,False
406,susan-cheng/brain-age-longitudinal,2025-01-17,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.1\n', 'extracted_version': '0.10.1'}, {'file': 'pyment-public/setup.py', 'version': None, 'extracted_version': None}]",0.10.1,{'image': 1},{'resample_to_img': 1},1,0,True
407,pydsgz/3DSeg,2019-06-06,"[{'file': 'requirements.txt', 'version': 'nilearn==0.4.0\n', 'extracted_version': '0.4.0'}]",0.4.0,{'image': 1},"{'load_img': 1, 'image': 2, 'crop_img': 1}",1,0,True
409,RahatShahriarZawad/BCI_Project_Motor_Movement,2024-05-07,"[{'file': 'requirements.txt', 'version': 'nilearn=0.10.3=pyhd8ed1ab_0\n', 'extracted_version': '0.10.3'}]",0.10.3,,,0,0,False
410,RuiLiGitLove/brainiak,2023-09-06,"[{'file': 'examples/factoranalysis/requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'examples/hyperparamopt/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'examples/eventseg/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'examples/reprsimil/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'examples/searchlight/requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'examples/isc/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'examples/utils/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'examples/funcalign/requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0.0.0,"{'input_data': 5, 'image': 2, 'plotting': 3, 'datasets': 1}","{'NiftiMasker': 4, 'load_img': 2, 'plot_connectome': 5, 'plotting': 9, 'plot_glass_brain': 3, 'new_img_like': 3, 'MultiNiftiMasker': 1, 'fetch_atlas_basc_multiscale_2015': 1, 'plot_stat_map': 2}",4,3,True
411,RuiLiGitLove/LUMEN,2025-02-23,[],,"{'image': 3, 'input_data': 1}","{'load_img': 7, 'image': 17, 'nilearn': 8, 'new_img_like': 1, 'NiftiMasker': 1, 'index_img': 1, 'resample_img': 1}",3,0,True
412,NeelKondapalli/Speech-Splendid,2023-01-21,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0.9.2,,,0,0,False
413,mjboos/voxelwiseencoding,2022-11-16,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.0.0,"{'masking': 8, 'image': 4, 'signal': 2, 'plotting': 2}","{'concat_imgs': 1, 'unmask': 2, 'apply_mask': 2, 'clean': 2, 'compute_epi_mask': 2, 'mean_img': 1, 'plot_stat_map': 2, 'plotting': 1}",3,4,True
414,Ouasfi/fMRI-ssl,2021-04-05,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,"{'input_data': 1, 'plotting': 2, 'image': 2, 'masking': 1}","{'NiftiMasker': 1, 'plot_stat_map': 1, 'math_img': 1, 'intersect_masks': 1}",2,0,True
415,jamesbrainard/Neuro-Creativity-ML,2025-04-01,"[{'file': 'environment.yml', 'version': None, 'extracted_version': None}]",,"{'input_data': 1, 'connectome': 1, 'datasets': 1}","{'fetch_atlas_harvard_oxford': 1, 'datasets': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1}",0,1,True
416,neuroscout/neuroscout-docs,2023-04-15,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",,"{'maskers': 2, 'plotting': 5, 'datasets': 1, 'image': 1}","{'NiftiMasker': 2, 'plot_stat_map': 6, 'fetch_atlas_harvard_oxford': 1, 'datasets': 1, 'plot_roi': 1, 'plotting': 1}",0,3,True
417,neuroscout/neuroscout-cli,2022-08-02,"[{'file': 'docs/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",,{'plotting': 3},{'plot_stat_map': 3},0,3,True
418,RabbitFored/NeetCity-Centrewise,2024-07-30,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'all = [""GitPython"", ""black"", ""codecov"", ""coverage (<5)"", ""datalad"", ""dipy"", ""duecredit"", ""fuzzywuzzy"", ""ipython"", ""matplotlib"", ""nbsphinx"", ""nilearn"", ""nipy"", ""nitime"", ""paramiko"", ""psutil (>=5.0)"", ""pybids (>=0.7.0)"", ""pytest"", ""pytest-cov"", ""pytest-doctestplus"", ""pytest-env"", ""pytest-timeout"", ""sphinx"", ""sphinx (>=2.1.2)"", ""sphinx-argparse"", ""sphinxcontrib-apidoc"", ""xvfbwrapper""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
419,djaaker/Lab-Work,2023-10-11,[],,{'plotting': 7},{'plot_design_matrix': 1},1,6,True
420,djaaker/eeg-to-fmri,2024-04-23,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,"{'masking': 2, 'signal': 1, 'image': 4, 'plotting': 2, '_utils': 1, 'input_data': 1, 'decomposition': 1}","{'compute_epi_mask': 2, 'apply_mask': 3, 'load_img': 12, 'image': 25, 'resample_img': 3, 'concat_imgs': 1, 'NiftiMasker': 3, 'compute_multi_epi_mask': 1, 'new_img_like': 4, 'mean_img': 1, 'smooth_img': 2, 'threshold_img': 1, 'unmask': 1, 'check_niimg_3d': 2, '_utils': 3, 'as_ndarray': 1, '_apply_mask_fmri': 1, 'CanICA': 1, 'index_img': 2, 'view_img': 1, 'plotting': 1}",3,0,True
421,pedugnat/cfm_data_challenge_ens,2021-03-02,[],,,,0,0,False
422,pedugnat/pompiers_data_challenge_ens,2021-01-20,[],,,,0,0,False
423,ZhenghanFang/DeepSTI-pytorch,2024-05-11,"[{'file': 'environment.yml', 'version': '  - nilearn=0.9.2=pyhd8ed1ab_0\n', 'extracted_version': '0.9.2'}]",0.9.2,,,0,0,False
424,sanchitvj/rsppUnet-BraTS-2021,2022-04-24,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}]",0.8.1,{'plotting': 1},,1,0,False
425,UM2ii/Better-PediatricCT-segmentation,2024-02-14,"[{'file': 'environment.yml', 'version': '      - nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0.10.0,,,0,0,False
427,GeQinwen/DataCentricBrainGraphs,2025-03-23,[],,"{'_utils': 3, 'glm': 1, 'datasets': 12, 'image': 12, 'connectome': 11}","{'fill_doc': 4, 'stringify_path': 1, 'create_cosine_drift': 1, 'csv_to_array': 2, 'as_ndarray': 1, 'fetch_atlas_schaefer_2018': 14, 'load_img': 14, 'ConnectivityMeasure': 14}",12,2,True
428,Scu-sen/1st-RSNA-Intracranial-Hemorrhage-Detection,2022-12-12,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",,,,0,0,False
429,Scu-sen/project-starter-brainlife,2022-03-29,[],,,,0,0,False
430,baxpr/sct-singularity,2020-04-15,[],,"{'input_data': 1, 'masking': 1, 'regions': 1}","{'img_to_signals_labels': 3, 'signal': 2, 'nilearn': 6, 'NiftiMasker': 1, 'image': 4}",1,0,True
431,baxpr/petreg,2022-02-17,[],,{'regions': 1},,1,0,False
432,baxpr/mp2rage,2024-08-07,[],,"{'image': 1, 'masking': 1}",,1,0,False
434,Rkallansee/Home-Assignment_RK,2024-12-07,[],,"{'plotting': 1, 'image': 1}","{'load_img': 2, 'image': 2, 'plotting': 2, 'nilearn': 1, 'show': 1}",0,1,True
435,AxelFritz2/Predict-Age-From-Brain-Images,2024-02-20,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
436,jacobsanz97/tessa_temp_scripts,2023-12-14,[],,{'plotting': 3},,0,3,False
437,Padraig20/Group-ICA-dHCP,2024-08-28,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0.10.4,{'masking': 2},,2,0,False
438,effigies/nipy-demos,2019-08-07,"[{'file': 'environment.yml', 'version': '    - nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 1, 'plotting': 1}","{'new_img_like': 2, 'plot_stat_map': 3}",0,1,True
439,mattfeng/modeling-parkinsons-public,2020-05-17,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0.6.2,"{'image': 7, 'plotting': 5, 'masking': 1}","{'load_img': 7, 'image': 13, 'plot_anat': 8, 'plotting': 9, 'resample_img': 6, 'plot_img': 1}",1,6,True
440,mehdihosseinimoghadam/open-sourced-nootbookLM,2024-09-28,"[{'file': 'podcast_creator/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'podcast_creator/poetry.lock', 'version': 'all = [""GitPython"", ""black"", ""codecov"", ""coverage (<5)"", ""datalad"", ""dipy"", ""duecredit"", ""fuzzywuzzy"", ""ipython"", ""matplotlib"", ""nbsphinx"", ""nilearn"", ""nipy"", ""nitime"", ""paramiko"", ""psutil (>=5.0)"", ""pybids (>=0.7.0)"", ""pytest"", ""pytest-cov"", ""pytest-doctestplus"", ""pytest-env"", ""pytest-timeout"", ""sphinx"", ""sphinx (>=2.1.2)"", ""sphinx-argparse"", ""sphinxcontrib-apidoc"", ""xvfbwrapper""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
443,mansoor181/DDMR,2023-10-22,"[{'file': 'requirements.txt', 'version': 'nilearn==0.7.0\n', 'extracted_version': '0.7.0'}, {'file': 'demo/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.7.0,{'image': 6},{'resample_img': 7},6,0,True
444,mansoor181/Brain_Age_Estimation,2023-08-20,[],,"{'masking': 5, 'image': 2, 'input_data': 2, 'plotting': 1}",{'compute_brain_mask': 1},1,2,True
445,mansoor181/eeg-ufal,2025-03-16,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""antio (>=0.5.0)"", ""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io (>=0.2.4)"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipython (!=8.7.0)"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""pillow"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.0)"", ""pyqt6-qt6 (!=6.6.0,!=6.7.0)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk (>=9.2)"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
446,mansoor181/InterpretableNeuroDL,2023-02-07,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0.6.2,"{'plotting': 3, 'surface': 1}","{'plot_roi': 4, 'plotting': 5, 'show': 1}",0,3,True
