name,last_commit,versions,n_notebook,n_notebook_parsed,n_python_file,n_python_file_parsed,import_counts,function_counts,contains_python_2,extracted_version,lockfile,has_version,has_imports,use_imports,include,user,repo,content,p_notebook_parsed,p_python_file_parsed,duplicated_repo
Derek-Pang/Clinical-Brain-Imaging-Multi-class-Classification-and-Interpretation,2019-11-20,[],4,0,0,0,{},{},False,n/a,n/a,False,False,False,False,Derek-Pang,Clinical-Brain-Imaging-Multi-class-Classification-and-Interpretation,mixed,0.0,n/a,True
Alexey1295/skillfactory_ds_credit_scoring,2023-01-25,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,n/a,n/a,False,False,False,False,Alexey1295,skillfactory_ds_credit_scoring,mixed,n/a,n/a,False
kirito878/ML-Final-project,2023-01-10,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0,0,0,0,{},{},False,0.9.2,requirements.txt,True,False,False,True,kirito878,ML-Final-project,mixed,n/a,n/a,False
CJG1410/Heart-Failure-Prediction,2023-10-25,"[{'file': 'environment.yml', 'version': '    - nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0,0,0,0,{},{},False,0.6.2,environment.yml,True,False,False,True,CJG1410,Heart-Failure-Prediction,mixed,n/a,n/a,False
kjamison/brainmontageplot,2025-02-04,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.10\n', 'extracted_version': '0.10'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,1,1,"{'plotting': 1, 'datasets': 1}","{'plot_surf_roi': 2, 'plot_surf_stat_map': 1, 'fetch_surf_fsaverage': 1}",False,0.10,requirements.txt,True,True,True,True,kjamison,brainmontageplot,python,n/a,1.0,False
kjamison/fmriclean,2025-03-04,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.7\n', 'extracted_version': '0.7'}]",0,0,4,4,"{'signal': 1, 'connectome': 2, '__version__': 1}","{'nilearn': 3, 'signal': 2}",False,0.7,requirements.txt,True,True,True,True,kjamison,fmriclean,python,n/a,1.0,False
spanlab/spantoolbox,2019-12-17,[],0,0,96,0,{},{},False,n/a,n/a,False,False,False,False,spanlab,spantoolbox,mixed,n/a,0.0,False
prantik-pdeb/BeSt-LeS,2024-08-08,[],1,1,0,0,{'plotting': 1},{},False,n/a,n/a,False,True,False,True,prantik-pdeb,BeSt-LeS,notebook,1.0,n/a,False
yashdhanani/Portfolio,2024-02-15,[],0,0,3,0,{},{},False,n/a,n/a,False,False,False,False,yashdhanani,Portfolio,mixed,n/a,0.0,True
argyelan/Publications,2024-12-17,[],9,9,0,0,"{'image': 17, 'plotting': 23, 'datasets': 6, 'input_data': 10, 'masking': 1, 'regions': 2}","{'get_data': 5, 'new_img_like': 27, 'plot_stat_map': 61, 'NiftiSpheresMasker': 3, 'NiftiMasker': 6, 'view_img': 8, 'mean_img': 1, 'load_img': 34, 'coord_transform': 2, 'smooth_img': 1, 'plot_markers': 3, 'show': 3, 'plot_img': 4, 'fetch_atlas_harvard_oxford': 6, 'plot_roi': 3, 'nilearn': 2}",False,n/a,n/a,False,True,True,True,argyelan,Publications,notebook,1.0,n/a,False
NatLee/nipype-preprocess-on-brain-MR,2024-02-03,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.3\n', 'extracted_version': '0.10.3'}]",0,0,1,1,"{'image': 1, 'plotting': 1}","{'smooth_img': 2, 'plot_stat_map': 1}",False,0.10.3,requirements.txt,True,True,True,True,NatLee,nipype-preprocess-on-brain-MR,python,n/a,1.0,False
Goader/mind-reader,2024-01-23,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.2\n', 'extracted_version': '0.10.2'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,0.10.2,requirements.txt,True,False,False,True,Goader,mind-reader,mixed,n/a,n/a,False
Goader/DWIinpainting,2020-08-03,[],3,3,1,1,"{'plotting': 6, 'image': 1}","{'plot_anat': 19, 'index_img': 5}",False,n/a,n/a,False,True,True,True,Goader,DWIinpainting,mixed,1.0,1.0,True
ericabusch/tphate_analysis_capsule,2024-10-16,"[{'file': 'environment.yml', 'version': '  - nilearn=0.9.2\n', 'extracted_version': '0.9.2'}]",1,0,2,1,{'image': 1},{'resample_img': 1},False,0.9.2,environment.yml,True,True,True,True,ericabusch,tphate_analysis_capsule,python,0.0,0.5,False
ericabusch/avatarRT_analysis,2025-04-09,[],1,1,1,0,"{'maskers': 1, 'plotting': 1, 'image': 1}",{},False,n/a,n/a,False,True,False,True,ericabusch,avatarRT_analysis,notebook,1.0,0.0,False
ericabusch/manifold_abcd_psychopathology_bpcnni,2024-10-01,"[{'file': 'environment.yml', 'version': '  - nilearn=0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,1,0,{},{},False,0.10.4,environment.yml,True,False,False,True,ericabusch,manifold_abcd_psychopathology_bpcnni,mixed,n/a,0.0,False
ericabusch/hybrid_hyperalignment_neuroimage,2022-10-25,"[{'file': 'environment.yml', 'version': '    - nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0,0,0,0,{},{},False,0.5.2,environment.yml,True,False,False,True,ericabusch,hybrid_hyperalignment_neuroimage,mixed,n/a,n/a,False
ericabusch/EPHATE,2025-02-21,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '  - conda-forge::nilearn\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,environment.yml,True,False,False,True,ericabusch,EPHATE,mixed,n/a,n/a,False
MassimoLumaca/neuroMET,2024-08-19,[],0,0,6,6,"{'plotting': 8, 'datasets': 6, 'image': 2, 'input_data': 2}","{'fetch_atlas_destrieux_2009': 6, 'find_parcellation_cut_coords': 6, 'plot_connectome': 6, 'view_connectome': 6, 'NiftiLabelsMasker': 2}",False,n/a,n/a,False,True,True,True,MassimoLumaca,neuroMET,python,n/a,1.0,False
coreyjr2/HCP-Analyses,2022-05-13,[],0,0,16,10,"{'datasets': 8, 'input_data': 5, 'plotting': 6, 'connectome': 7}","{'fetch_atlas_harvard_oxford': 2, 'NiftiLabelsMasker': 13, 'fetch_atlas_msdl': 5, 'NiftiMapsMasker': 2, 'fetch_atlas_yeo_2011': 2, 'sym_matrix_to_vec': 47, 'plot_img': 4, 'datasets': 1, 'nilearn': 1}",False,n/a,n/a,False,True,True,True,coreyjr2,HCP-Analyses,python,n/a,0.625,False
coreyjr2/My-Connectome-Analyses,2021-04-22,[],0,0,1,1,"{'datasets': 1, 'plotting': 2, 'input_data': 1, 'connectome': 1}","{'fetch_atlas_harvard_oxford': 1, 'plot_roi': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1, 'plot_matrix': 1}",False,n/a,n/a,False,True,True,True,coreyjr2,My-Connectome-Analyses,python,n/a,1.0,False
brown-bnc/xnat-admin-tools,2025-01-27,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""antio (>=0.5.0)"", ""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io (>=0.2.4)"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipython (!=8.7.0)"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""pillow"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.0)"", ""pyqt6-qt6 (!=6.6.0,!=6.7.0)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk (>=9.2)"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,brown-bnc,xnat-admin-tools,mixed,n/a,n/a,False
brown-bnc/xnat-tools,2025-01-16,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'dev = [""defusedxml"", ""edfio (>=0.2.1)"", ""edflib-python (>=1.0.6)"", ""eeglabio (>=0.0.2)"", ""matplotlib"", ""matplotlib (>=3.5.0)"", ""mne-nirs"", ""nibabel (>=3.2.1)"", ""nilearn"", ""numpydoc"", ""openneuro-py"", ""pandas"", ""pandas (>=1.3.2)"", ""pillow"", ""pre-commit"", ""pybv (>=0.7.5)"", ""pydata-sphinx-theme"", ""pymatreader (>=0.0.30)"", ""pytest"", ""pytest-cov"", ""pytest-sugar"", ""ruff"", ""seaborn"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-gallery""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,brown-bnc,xnat-tools,mixed,n/a,n/a,False
john-veillette/niseq-simulations,2023-05-11,"[{'file': 'environment.yml', 'version': '  - nilearn\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,environment.yml,True,False,False,True,john-veillette,niseq-simulations,mixed,n/a,n/a,False
john-veillette/mne-ari,2025-02-07,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",2,1,2,1,"{'connectome': 1, 'maskers': 1, 'plotting': 1, 'datasets': 1, 'glm': 2}","{'fetch_development_fmri': 1, 'fetch_atlas_msdl': 1, 'NiftiMapsMasker': 1, 'ConnectivityMeasure': 1, 'plot_connectome': 1, '_compute_hommel_value': 1, '_true_positive_fraction': 1}",False,n/a,n/a,False,True,True,True,john-veillette,mne-ari,mixed,0.5,0.5,False
gsailer/eeg-music,2024-07-26,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""psutil"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.1)"", ""pyqt6-qt6 (!=6.6.1,!=6.6.2,!=6.6.3)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,gsailer,eeg-music,mixed,n/a,n/a,False
SeanHong8/Monchaton230120,2023-01-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0,0,0,0,{},{},False,0.6.2,requirements.txt,True,False,False,True,SeanHong8,Monchaton230120,mixed,n/a,n/a,False
AnaTomomi/externalfactors_on_functionalconnectivity,2024-08-05,[],0,0,10,10,"{'maskers': 1, 'glm': 5, 'image': 6, 'plotting': 5, 'masking': 1}","{'NiftiLabelsMasker': 2, 'make_first_level_design_matrix': 2, 'FirstLevelModel': 2, 'concat_imgs': 3, 'plot_stat_map': 2, 'plot_connectome': 1, 'clean_img': 1, 'apply_mask': 2, 'plot_glass_brain': 2, 'plot_carpet': 2}",False,n/a,n/a,False,True,True,True,AnaTomomi,externalfactors_on_functionalconnectivity,python,n/a,1.0,False
AnaTomomi/protocol,2024-08-03,[],0,0,3,3,{'plotting': 3},{'plot_glass_brain': 8},False,n/a,n/a,False,True,True,True,AnaTomomi,protocol,python,n/a,1.0,False
neuropycon/ephypype,2022-12-14,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,n/a,n/a,False,False,False,False,neuropycon,ephypype,mixed,n/a,n/a,False
amadeuskanaan/GluREST,2015-12-01,[],0,0,4,1,{'decomposition': 1},{'CanICA': 1},True,n/a,n/a,False,True,True,True,amadeuskanaan,GluREST,python,n/a,0.25,False
parisots/population-gcn,2018-12-02,[],0,0,2,2,"{'connectome': 1, 'datasets': 1}","{'ConnectivityMeasure': 1, 'fetch_abide_pcp': 1}",False,n/a,n/a,False,True,True,True,parisots,population-gcn,python,n/a,1.0,False
yotaKawashima/UnilateralProcessingInCNN,2024-10-18,[],1,0,1,1,"{'datasets': 1, 'plotting': 1}","{'fetch_surf_fsaverage': 1, 'view_surf': 1}",False,n/a,n/a,False,True,True,True,yotaKawashima,UnilateralProcessingInCNN,python,0.0,1.0,False
BruntonUWBio/mining2021,2022-03-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",1,1,1,1,{'plotting': 2},{'plot_connectome': 3},False,0.5.2,requirements.txt,True,True,True,True,BruntonUWBio,mining2021,mixed,1.0,1.0,False
BruntonUWBio/ajile12-nwb-data,2022-02-18,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",6,0,2,2,{'plotting': 2},{'plot_connectome': 6},False,0.6.2,requirements.txt,True,True,True,True,BruntonUWBio,ajile12-nwb-data,python,0.0,1.0,False
BruntonUWBio/HTNet_generalized_decoding,2021-03-05,"[{'file': 'environment.yml', 'version': None, 'extracted_version': None}]",0,0,1,1,{'plotting': 1},{'plot_connectome': 3},False,n/a,n/a,False,True,True,True,BruntonUWBio,HTNet_generalized_decoding,python,n/a,1.0,False
BruntonUWBio/OpenMindv2,2019-05-20,[],2,2,2,2,{'plotting': 4},{'plot_connectome': 8},False,n/a,n/a,False,True,True,True,BruntonUWBio,OpenMindv2,mixed,1.0,1.0,False
BruntonUWBio/NaturalisticNeuralManifolds,2024-01-04,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}]",6,6,4,4,{'plotting': 10},{'plot_markers': 3},False,n/a,n/a,False,True,True,True,BruntonUWBio,NaturalisticNeuralManifolds,mixed,1.0,1.0,False
08Arno30/COS700-Research,2024-11-28,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,08Arno30,COS700-Research,mixed,n/a,n/a,False
RajahLab/LSA,2025-02-25,[],0,0,1,1,"{'input_data': 1, 'image': 1, 'plotting': 1}",{'nilearn': 2},False,n/a,n/a,False,True,True,True,RajahLab,LSA,python,n/a,1.0,False
kimkyeongdong/project4,2022-12-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}]",0,0,0,0,{},{},False,0.8.1,requirements.txt,True,False,False,True,kimkyeongdong,project4,mixed,n/a,n/a,False
SeanHong2023/MC2,2023-01-25,"[{'file': 'requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}]",0,0,0,0,{},{},False,0.6.2,requirements.txt,True,False,False,True,SeanHong2023,MC2,mixed,n/a,n/a,False
BabaSanfour/Coord2Region,2025-03-31,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,5,1,{'datasets': 3},"{'fetch_atlas_aal': 1, 'fetch_atlas_talairach': 1, 'fetch_atlas_harvard_oxford': 1, 'fetch_atlas_juelich': 1, 'fetch_atlas_schaefer_2018': 1, 'fetch_atlas_yeo_2011': 1, 'fetch_atlas_destrieux_2009': 1, 'fetch_atlas_pauli_2017': 1, 'fetch_atlas_basc_multiscale_2015': 1, 'fetch_coords_dosenbach_2010': 1, 'fetch_coords_power_2011': 1, 'fetch_coords_seitzman_2018': 1}",False,n/a,n/a,False,True,True,True,BabaSanfour,Coord2Region,python,n/a,0.2,False
jadecci/ukb_deppred,2025-03-21,"[{'file': 'requirements.txt', 'version': 'nilearn ~= 0.11.1\n', 'extracted_version': '0.11.1'}]",0,0,1,1,"{'datasets': 1, 'plotting': 1, 'surface': 1}","{'load_fsaverage': 1, 'load_fsaverage_data': 1, 'load_surf_data': 2, 'plot_glass_brain': 1, 'plot_surf_stat_map': 2}",False,0.11.1,requirements.txt,True,True,True,True,jadecci,ukb_deppred,python,n/a,1.0,False
Mjavan/ExplainingStatisticalTests,2025-03-14,"[{'file': 'requirements.txt', 'version': 'nilearn @ file:///home/conda/feedstock_root/build_artifacts/nilearn_1696247746422/work\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,requirements.txt,True,False,False,True,Mjavan,ExplainingStatisticalTests,mixed,n/a,n/a,False
FCP-INDI/cpac-qc,2025-04-02,"[{'file': 'requirements.txt', 'version': 'nilearn==0.11.1\n', 'extracted_version': '0.11.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,1,1,{'plotting': 1},{'plot_stat_map': 3},False,0.11.1,requirements.txt,True,True,True,True,FCP-INDI,cpac-qc,python,n/a,1.0,False
FCP-INDI/C-PAC,2024-05-03,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}, {'file': 'dev/circleci_data/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,8,6,"{'datasets': 3, 'masking': 4, 'input_data': 5, 'image': 5, 'connectome': 1}","{'NiftiMasker': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1}",False,0.10.0,requirements.txt,True,True,True,True,FCP-INDI,C-PAC,python,n/a,0.75,False
neurospin-deepinsight/brainprep,2024-11-25,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0,0,4,3,"{'datasets': 1, 'plotting': 3, 'image': 1, 'maskers': 1, 'connectome': 1, 'interfaces': 1}","{'fetch_atlas_schaefer_2018': 1, 'fetch_atlas_msdl': 1, 'plot_roi': 3, 'load_confounds': 1, 'clean_img': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1, 'plot_matrix': 1, 'plot_anat': 1}",False,n/a,n/a,False,True,True,True,neurospin-deepinsight,brainprep,python,n/a,0.75,False
neurospin-deepinsight/dataify,2021-08-05,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0,0,2,1,{'connectome': 1},{'ConnectivityMeasure': 1},False,n/a,n/a,False,True,True,True,neurospin-deepinsight,dataify,python,n/a,0.5,False
IMPRS-Python-course-2023/session6b_fMRI_processing,2023-04-26,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.6.0\n', 'extracted_version': '0.6.0'}]",1,1,0,0,"{'masking': 2, 'plotting': 1, 'input_data': 1, 'connectome': 1}","{'compute_epi_mask': 1, 'plot_roi': 1, 'apply_mask': 2, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 1}",False,0.6.0,requirements.txt,True,True,True,True,IMPRS-Python-course-2023,session6b_fMRI_processing,notebook,1.0,n/a,False
adlane98/SRM4BMRI,2021-03-28,"[{'file': 'MultiscaleSRModel/requirements.txt', 'version': None, 'extracted_version': None}]",0,0,1,1,{'plotting': 1},{},False,n/a,n/a,False,True,False,True,adlane98,SRM4BMRI,python,n/a,1.0,False
sheyma/ohbm_2021_fellow,2021-06-12,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.7.1\n', 'extracted_version': '0.7.1'}, {'file': 'environment.yml', 'version': '  - nilearn>=0.7.1\n', 'extracted_version': '0.7.1'}]",1,1,1,1,{'plotting': 2},{'load_surf_data': 4},False,0.7.1,several_lockfile_detected,True,True,True,True,sheyma,ohbm_2021_fellow,mixed,1.0,1.0,False
SRSteinkamp/py-fmrierp,2023-07-31,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0,0,1,1,{'maskers': 1},{'NiftiMasker': 1},False,0.0.0,requirements.txt,True,True,True,True,SRSteinkamp,py-fmrierp,python,n/a,1.0,False
zqkhan/ntfa_degeneracy,2022-06-03,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '    - nilearn==0.4.0\n', 'extracted_version': '0.4.0'}]",32,2,6,5,"{'image': 5, 'input_data': 3, 'plotting': 8, 'masking': 2}","{'concat_imgs': 3, 'index_img': 2, 'math_img': 1, 'plot_glass_brain': 18, 'mean_img': 1, 'show': 16, 'plot_connectome': 6, 'NiftiMasker': 2}",False,0.4.0,environment.yml,True,True,True,True,zqkhan,ntfa_degeneracy,mixed,0.0625,0.8333333333333334,False
Maksym-Kryvenko/Home-Credit-Group---Credit-Risk-Model-Stability,2024-02-19,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.2\n', 'extracted_version': '0.10.2'}]",0,0,0,0,{},{},False,0.10.2,requirements.txt,True,False,False,True,Maksym-Kryvenko,Home-Credit-Group---Credit-Risk-Model-Stability,mixed,n/a,n/a,False
PavanMutyla/FRCNN-SAM,2024-07-23,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.3\n', 'extracted_version': '0.10.3'}]",0,0,0,0,{},{},False,0.10.3,requirements.txt,True,False,False,True,PavanMutyla,FRCNN-SAM,mixed,n/a,n/a,False
AnanyaSSadana/alzheimers_disease_detection,2024-07-17,[],3,0,0,0,{},{},False,n/a,n/a,False,False,False,False,AnanyaSSadana,alzheimers_disease_detection,mixed,0.0,n/a,False
weiziyoung/Predicting_brain_age,2020-01-31,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",2,2,2,2,{'plotting': 4},{'plot_img': 1},False,0.5.2,requirements.txt,True,True,True,True,weiziyoung,Predicting_brain_age,mixed,1.0,1.0,False
WyssCenter/epfl-rcp-wyss,2024-07-22,"[{'file': 'pytorch_nvidia/poetry_installation/pyproject.toml', 'version': '^0.10.1', 'extracted_version': '0.10.1'}]",0,0,0,0,{},{},False,0.10.1,pyproject.toml,True,False,False,True,WyssCenter,epfl-rcp-wyss,mixed,n/a,n/a,False
sarrabenyahia/Predict-schizophrenia,2023-01-23,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,requirements.txt,True,False,False,True,sarrabenyahia,Predict-schizophrenia,mixed,n/a,n/a,False
sdiebolt/opioids-analysis,2023-12-13,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",2,2,3,3,"{'image': 2, 'masking': 3, 'plotting': 1, 'signal': 2, 'connectome': 1}","{'math_img': 4, 'apply_mask': 5, 'plot_roi': 1, '_standardize': 4, 'unmask': 2, 'ConnectivityMeasure': 1}",False,0.0.0,pyproject.toml,True,True,True,True,sdiebolt,opioids-analysis,mixed,1.0,1.0,False
lucidtronix/Trips-and-Neurotransmitters-Discovering-Principled-Patterns-across-6850-Hallucinogenic-Experiences,2022-01-21,[],0,0,1,1,"{'datasets': 1, 'input_data': 1}","{'fetch_atlas_schaefer_2018': 1, 'NiftiLabelsMasker': 1}",False,n/a,n/a,False,True,True,True,lucidtronix,Trips-and-Neurotransmitters-Discovering-Principled-Patterns-across-6850-Hallucinogenic-Experiences,python,n/a,1.0,False
anna-xu/mri_utils,2024-10-22,[],1,1,1,1,"{'datasets': 2, 'surface': 2, 'plotting': 2, 'glm': 4}","{'FirstLevelModel': 1, 'compute_fixed_effects': 2}",False,n/a,n/a,False,True,True,True,anna-xu,mri_utils,mixed,1.0,1.0,False
voytekresearch/oscillation_vs_exponent,2025-02-25,[],0,0,1,1,{'plotting': 1},{'plot_glass_brain': 2},False,n/a,n/a,False,True,True,True,voytekresearch,oscillation_vs_exponent,python,n/a,1.0,False
MooseML/nlp-disaster-tweets,2025-02-27,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,MooseML,nlp-disaster-tweets,mixed,n/a,n/a,False
jackgray/nii2gcode,2022-02-26,"[{'file': 'app/requirements.txt', 'version': 'nilearn   \n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,requirements.txt,True,False,False,True,jackgray,nii2gcode,mixed,n/a,n/a,False
Arlo0o/UniScene-Unified-Occupancy-centric-Driving-Scene-Generation,2025-03-31,"[{'file': 'lidar_gen/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'occupancy_gen/requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'video_gen/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'lidar_gen/setup.py', 'version': None, 'extracted_version': None}, {'file': 'lidar_gen/pcdet/datasets/nuscenes_occ/utils/dda/setup.py', 'version': None, 'extracted_version': None}, {'file': 'third_party/chamferdist/setup.py', 'version': None, 'extracted_version': None}, {'file': 'video_gen/gs_render/diff-gaussian-rasterization/setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': None, 'extracted_version': None}, {'file': 'lidar_gen/environment.yml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,Arlo0o,UniScene-Unified-Occupancy-centric-Driving-Scene-Generation,mixed,n/a,n/a,False
SS8297/IIS,2023-12-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.2 ; python_version >= ""3.10"" and python_version < ""3.13""\n', 'extracted_version': '0.10.2'}]",0,0,0,0,{},{},False,0.10.2,requirements.txt,True,False,False,True,SS8297,IIS,mixed,n/a,n/a,False
aghaeifar/pyshim,2024-12-19,"[{'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,2,2,{'image': 2},{'resample_img': 1},False,n/a,n/a,False,True,True,True,aghaeifar,pyshim,python,n/a,1.0,False
paquiteau/retino-pypeline,2023-04-11,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0,0,2,2,{'glm': 2},"{'threshold_stats_img': 1, 'make_first_level_design_matrix': 1, 'FirstLevelModel': 1}",False,0.0.0,pyproject.toml,True,True,True,True,paquiteau,retino-pypeline,python,n/a,1.0,False
